label,binidx,vv_pol,vv_pol_nm
AlAs,8,9.748370516731347,9.748370516408958
AlAs,9,5.148166418187664,5.148166418187664
AlAs,10,1.093706841985981,1.093706841985981
AlAs,11,0.49458586340427635,0.49458586340427635
AlAs,12,0.3396503174936461,0.3396503174936461
AlAs,13,0.20434279510380193,0.20434279510380193
AlAs,14,0.2197887003067128,0.2197887003067128
AlAs,15,0.16613659596163644,0.16613659596163644
AlAs,16,0.12675222253328697,0.12675222253328697
AlAs,17,0.11168128722245399,0.11168128722245399
AlAs,18,0.09607164361367701,0.09607164361367701
AlAs,19,0.08501008266639715,0.08501008266639715
AlAs,20,0.0977374985432325,0.0977374985432325
AlAs,21,0.06080390446619499,0.06080390446619499
AlAs,22,0.09375159570016026,0.09375159570016026
AlAs,23,0.06925684898586501,0.06925684898586501
AlAs,24,0.050029831036112596,0.050029831036112596
AlAs,25,0.07687855152048331,0.07687855152048331
AlAs,26,0.0594126319431362,0.0594126319431362
AlAs,27,0.06870050006306627,0.06870050006306627
AlAs,28,0.06862533171097199,0.06862533171097199
AlAs,29,0.08715283341409857,0.08715283341409857
AlAs,30,0.06320929407710141,0.06320929407710141
AlAs,31,0.10036470537137185,0.10036470537137185
AlAs,32,0.11772110829285708,0.11772110829285708
AlAs,33,0.2166437066122376,0.2166437066122376
AlAs,34,0.2080364097669442,0.2080364097669442
AlAs,36,0.005508916794564838,0.005508916794564838
AlAs,43,9.905145199311066e-09,9.905145199311066e-09
AlAs,47,0.0023518289111606415,0.0023518289111606415
AlAs,48,0.0025300870364852084,0.0025300870364852084
AlAs,49,0.013544107838330266,0.013544107838330266
AlP,1,0.23085256931641895,2.0828471593784077e-07
AlP,2,0.6169468191251506,0.0012284260503672624
AlP,3,1.3097222752321582,0.08658111470684382
AlP,4,2.3512069721160653,1.4153291246428439
AlP,5,8.668378534981294,8.368537098642669
AlP,6,13.814636337799687,13.805759687638739
AlP,7,11.889848103672545,11.889841629793086
AlP,8,9.168480187897366,9.16848018765193
AlP,9,3.7479601911901703,3.7479601911901703
AlP,10,0.3530191408330544,0.3530191408330544
AlP,11,0.1189902164158457,0.1189902164158457
AlP,12,0.12900044692250545,0.12900044692250545
AlP,13,0.16119192438490643,0.16119192438490643
AlP,14,0.0721852347769484,0.0721852347769484
AlP,15,0.04674746477234685,0.04674746477234685
AlP,16,0.06113600160032757,0.06113600160032757
AlP,17,0.05436247534382806,0.05436247534382806
AlP,18,0.07542207516170503,0.07542207516170503
AlP,19,0.030205543760810673,0.030205543760810673
AlP,20,0.01677420332663739,0.01677420332663739
AlP,21,0.03204564805753029,0.03204564805753029
AlP,22,0.02813063229553596,0.02813063229553596
AlP,23,0.06515072014557342,0.06515072014557342
AlP,24,0.028031119974711454,0.028031119974711454
AlP,25,0.025547662574333923,0.025547662574333923
AlP,26,0.024836543956917152,0.024836543956917152
AlP,27,0.03828207169929811,0.03828207169929811
AlP,28,0.052580009559643204,0.052580009559643204
AlP,29,0.04326107690957509,0.04326107690957509
AlP,30,0.021598372156687928,0.021598372156687928
AlP,31,0.0762835112009215,0.0762835112009215
AlP,32,0.07305891131755057,0.07305891131755057
AlP,33,0.15396287698686084,0.15396287698686084
