label,scale,method,ene,delta,reldelta,group
CdS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.825297879353193,-0.04529787935319307,-0.01629420120618456,
CdS,1.0,PBE+MBD(scs),-2.797574815519851,-0.017574815519851406,-0.006321876086277485,
CdS,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-2.8644976650444143,-0.08449766504441447,-0.030394843541156288,
CdS,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-2.7458431040255546,0.034156895974445156,0.012286653228217682,
CdS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-2.869768327150121,-0.08976832715012106,-0.03229076516191405,
CdS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-2.8434851707257165,-0.06348517072571669,-0.022836392347380104,
CdS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.8203900370742034,-0.04039003707420363,-0.01452879031446174,
CdS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.8253784183805624,-0.04537841838056256,-0.01632317207933905,
CdS,1.0,PBE,-2.550345836210529,0.2296541637894709,0.08260941143506148,
CdSe,1.0,"PBE+MBD(rpa,scs)",-2.549514490238505,-0.09451449023850511,-0.038498774027904324,
CdSe,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.627607014871752,-0.172607014871752,-0.07030835636323911,
CdSe,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-2.5018595637158367,-0.04685956371583666,-0.01908739866225526,
CdSe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.6257449185807453,-0.17074491858074525,-0.06954986500234023,
CdSe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-2.606170316804253,-0.15117031680425308,-0.06157650378991979,
CdSe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.5889418468015037,-0.13394184680150367,-0.05455879706782227,
CdSe,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.5862301189352435,-0.1312301189352434,-0.053454223598877144,
CdSe,1.0,PBE+MBD(scs),-2.5479318171305922,-0.09293181713059218,-0.03785410066419233,
CdSe,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-2.63018845797587,-0.17518845797587002,-0.07135986068263545,
CdSe,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-2.5007867635094856,-0.04578676350948552,-0.018650412834820985,
CdSe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-2.6266724370250403,-0.1716724370250402,-0.0699276729226233,
CdSe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-2.606956131007325,-0.15195613100732475,-0.06189659104168014,
CdSe,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.593039322856069,-0.138039322856069,-0.056227830083938495,
