group,label,i_atom,species,hirsh_ratios,alpha_0_free,alpha_0_vvfree,alpha_0_hirsh,alpha_0_vv,alpha_0_vv2,alpha_0_vv_nm,alpha_0_vvcorr,alpha_0_vv_nmcorr,C6_free,C6_hirsh,C6_vvfree,C6_vv,C6_vv_nm,C6_vvcorr,C6_vv_nmcorr,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_hirsh_17base,Rvdw_vv17,Rvdw_vvcorr17,group
TMCN,NbN,1,Nb,1.0,101.6,52.56,102.07,20.29,20.29,11.85,39.21,22.91,1263.61,1275.31,548.89,181.02,82.43,416.74,189.75,4.24,4.84,4.24,4.85,3.84,4.22,TMCN
TMCN,NbN,2,N,1.03,7.4,7.81,7.64,9.44,9.44,7.02,8.94,6.65,24.2,25.77,31.44,41.98,26.88,32.31,20.69,3.34,3.33,3.38,3.36,3.45,3.42,TMCN
TMCN,TiC,1,Ti,0.99,98.0,60.06,97.05,17.28,17.28,10.46,28.19,17.07,1044.0,1023.83,589.05,119.15,56.34,211.17,99.85,4.51,4.81,4.5,4.8,3.76,4.03,TMCN
TMCN,TiC,2,C,1.0,12.0,11.96,12.0,11.21,11.21,8.62,11.24,8.65,46.6,46.62,54.89,51.11,33.82,43.39,28.71,3.59,3.57,3.59,3.57,3.53,3.53,TMCN
TMCN,TiN,1,Ti,0.98,98.0,60.06,95.62,16.39,16.39,9.27,26.74,15.13,1044.0,994.0,589.05,109.22,47.89,193.57,84.87,4.51,4.81,4.47,4.77,3.73,4.0,TMCN
TMCN,TiN,2,N,1.0,7.4,7.81,7.37,9.54,9.54,7.32,9.04,6.94,24.2,24.01,31.44,41.5,28.19,31.94,21.69,3.34,3.33,3.34,3.32,3.45,3.42,TMCN
TMCN,VC,1,V,1.0,84.0,50.85,83.7,15.39,15.39,9.55,25.42,15.77,832.0,826.07,468.55,103.88,50.5,184.47,89.67,4.44,4.71,4.43,4.7,3.69,3.97,TMCN
TMCN,VC,2,C,1.0,12.0,11.96,12.03,10.18,10.18,7.8,10.21,7.82,46.6,46.85,54.89,44.75,29.07,37.99,24.68,3.59,3.57,3.59,3.57,3.48,3.48,TMCN
TMCN,VN,1,V,0.98,84.0,50.85,82.32,15.21,15.21,8.72,25.13,14.4,832.0,798.98,468.55,99.86,44.31,177.33,78.68,4.44,4.71,4.41,4.68,3.69,3.96,TMCN
TMCN,VN,2,N,0.99,7.4,7.81,7.36,9.09,9.09,6.93,8.61,6.57,24.2,23.96,31.44,38.89,26.0,29.93,20.01,3.34,3.33,3.33,3.32,3.43,3.4,TMCN
TMCN,ZrC,1,Zr,0.98,119.97,70.02,118.02,24.63,24.63,14.11,42.2,24.18,1677.91,1623.76,847.65,227.69,100.92,450.71,199.77,4.53,4.95,4.51,4.93,3.95,4.27,TMCN
TMCN,ZrC,2,C,1.0,12.0,11.96,12.02,12.05,12.05,9.32,12.09,9.35,46.6,46.76,54.89,56.8,38.12,48.23,32.36,3.59,3.57,3.59,3.57,3.57,3.57,TMCN
TMCN,ZrN,1,Zr,0.97,119.97,70.02,116.77,23.31,23.31,13.15,39.94,22.54,1677.91,1589.64,847.65,210.27,92.19,416.23,182.48,4.53,4.95,4.49,4.91,3.92,4.23,TMCN
TMCN,ZrN,2,N,1.0,7.4,7.81,7.42,10.1,10.1,7.65,9.56,7.24,24.2,24.31,31.44,44.95,30.02,34.6,23.1,3.34,3.33,3.34,3.33,3.48,3.45,TMCN
